phase_cycle1,phase_cycle2,phase_cycle3
108.43494882292202,90.0,90.0
14.036243467926479,90.0,90.0
106.69924423399362,0.0,0.0
-71.56505117707799,78.69006752597979,78.69006752597979
90.0,-146.30993247402023,-146.30993247402023
0.0,90.0,90.0
56.309932474020215,180.0,180.0
71.56505117707799,146.30993247402023,146.30993247402023
116.56505117707799,90.0,90.0
108.43494882292202,180.0,180.0
-90.0,180.0,180.0
63.43494882292201,111.80140948635183,111.80140948635183
-153.434948822922,-146.30993247402023,-146.30993247402023
90.0,11.309932474020215,11.309932474020215
-45.0,165.96375653207352,165.96375653207352
90.0,11.309932474020215,11.309932474020215
-161.565051177078,180.0,180.0
68.19859051364818,-14.036243467926479,-14.036243467926479
-128.6598082540901,174.28940686250036,174.28940686250036
90.0,-14.036243467926479,-14.036243467926479
-135.0,-158.19859051364818,-158.19859051364818
90.0,-63.43494882292201,-63.43494882292201
-153.434948822922,-158.19859051364818,-158.19859051364818
-45.0,-90.0,-90.0
-161.565051177078,153.434948822922,153.434948822922
-158.19859051364818,-104.03624346792648,-104.03624346792648
0.0,-45.0,-45.0
174.28940686250036,-161.565051177078,-161.565051177078
-29.74488129694222,-90.0,-90.0
